id,names,grapeType,regionIds,body,tannin,acidity,sweetness,abv,finish,colour,primaryAroma,secondaryTertiary,styleRange,confusedWith,confusedWithNote,globalPrevalence,foodPairing,body_confidence,tannin_confidence,acidity_confidence,sweetness_confidence,abv_confidence,finish_confidence,colour_confidence,primaryAroma_confidence,secondaryTertiary_confidence,styleRange_confidence,confusedWithNote_confidence,globalPrevalence_confidence,foodPairing_confidence
cabernet-sauvignon,Cabernet Sauvignon,red,"bordeaux, napa, stellenbosch, maipo",Full,"High — firm, ""gripping,"" felt on the gums; ages into smoother, more integrated tannin over years",Medium to high,Dry,13.5–15.5%,Long,"Deep ruby to garnet — one of the deepest of any red grape, from thick skins","Black currant (cassis), black cherry, blackberry, plum; a distinctive green bell pepper note especially in cooler-climate/less-ripe examples (methoxypyrazines)","Vanilla, clove, baking spice, cedar from oak aging; with bottle age: tobacco, leather, graphite","One dominant style (full-bodied, structured, built to age), with a real Old World/New World split: Bordeaux tends more herbal/graphite/tobacco with more pronounced green pepper; Napa and other New World examples tend riper, more fruit-forward, higher ABV, softer green notes",merlot,"Merlot — Cabernet’s tannin feels firmer/more angular and grips the sides of the mouth; Merlot’s is rounder, softer, ""plush."" Secondary: Syrah/Shiraz — Cabernet’s acid runs higher and tannin more angular; Syrah is rounder-tannined with a black pepper note (rotundone) that roughly 1 in 10 people cannot smell at all","World’s #1 most-planted wine grape variety, ~341,000 hectares, roughly 5% of total world vineyard area (OIV Focus 2017)","Complement — its high tannin wants fat (red meat, aged hard cheese) to soften against",green,green,green,green,green,green,green,green,green,green,green,green,green
pinot-noir,Pinot Noir,red,"burgundy, champagne",Light to medium,"Low to medium — texture is the real signature: ""silky,"" ""soft,"" ""fine-grained,"" a genuinely different feel from a grippy red, not just a lower amount of the same feel","High, sometimes described as the grape’s single defining trait",Dry,12–14.5% (cooler regions 12–13.5%; warmer New World regions run higher within the band),"Medium, elegant rather than powerful","Pale ruby to bright ruby-red — one of the lightest-coloured red wines, from thin skins","Red cherry, raspberry, strawberry, cranberry; floral notes (violet, rose)","Vanilla/spice from modest oak use (rarely 100% new oak); with age: mushroom, forest floor, leather, game, truffle","Narrower than Riesling’s — always dry, always relatively light — but aroma shifts noticeably: young Pinot is fresh red fruit, aged Pinot moves toward dried fruit and earthy/savoury tertiary notes. Climate matters more for texture/weight than for a dry-sweet axis",pinot-meunier,"Gamay (not a full entry in this file) — a genetic relative (natural cross of Pinot Noir × Gouais Blanc), sharing light body, high acid, low tannin; Gamay is more overtly floral/candied, Pinot shows more structure and earthiness. Secondary, per the Tim Gaiser ""Evil Dwarves"" red cluster: Nebbiolo (not a full entry here), told apart bluntly — Nebbiolo’s tannin and acid both run considerably higher. Also a genetic parent (cross) of Chardonnay and, via colour mutation through Pinot Gris, ancestor of Pinot Blanc — a real lineage fact, not a taste pairing","Ranks around #9 among the world’s most-planted grape varieties, roughly 115,000 hectares (OIV-sourced ranking table; ranking position well-sourced, exact hectare figure less independently cross-checked)","Complement, but unusually flexible for a red — low tannin and high acid let it pair like a food-friendly white would (salmon, mushroom dishes, roast chicken), not just red meat",green,green,green,green,green,green,green,green,green,yellow,green,yellow,green
riesling,Riesling,white,"mosel, wachau",Light to medium,None (white grape),Very high — consistently one of the highest-acid grapes made into wine at any real volume,"Genuinely spans bone-dry to intensely sweet, not a fixed point — a winemaking decision, not something inherent to the grape","Inverse to sweetness: roughly 12–14% for dry styles, dropping to 7–9% for the sweetest styles, since less sugar is fermented into alcohol the sweeter the target style",Long — the high acidity gives Riesling unusually strong aging potential even at low alcohol,"Very pale, often with a slight green tinge when young","Green apple, lime, lemon, grapefruit in cooler/drier styles; peach, apricot, tropical fruit in riper/warmer styles; floral notes (honeysuckle, jasmine, orange blossom) throughout","Petrol/kerosene/diesel aroma on aging — caused by TDN (1,1,6-trimethyl-1,2-dihydronaphthalene), forming from carotenoid precursors via acid-driven hydrolysis during bottle aging, intensified by vineyard sun exposure. Peer-reviewed sensory threshold ~2 µg/L; aged examples can reach 50+","The defining trait of this grape: spans bone-dry (Trocken, Wachau’s Smaragd tier) through off-dry (Kabinett, Spätlese) to intensely sweet (Auslese, Beerenauslese, ice wine). Determined by harvest timing/ripeness and a winemaking choice about how much fermentation runs before being stopped, not a fixed grape character","chenin-blanc, gruner-veltliner","Chenin Blanc — the closest real analogue, the only other major white with a genuinely comparable dry-to-sweet range and comparably high acid; Chenin carries a waxy/lanolin note and more phenolic weight, Riesling shows the petrol/TDN note and typically the highest extract of the two. Secondary, per the ""Evil Dwarves"" white cluster: Grüner Veltliner, distinguished by GV’s white-pepper/vegetal note that dry Riesling lacks","No exact number found. Not in the world top-10 by hectares the way the other Tranche 1 grapes are — Germany’s own most-planted grape, but Germany’s total vineyard area is modest by world standards; a global figure comparable to the OIV top-10 table was not located","Contrast — high acidity and (in off-dry/sweet styles) sweetness classically cut through rich, fatty, or spicy food rather than mirror it",green,green,green,green,green,green,yellow,green,green,green,green,red,green
sangiovese,Sangiovese,red,chianti,"Medium, trending toward medium-full in more serious expressions (Brunello di Montalcino fuller-bodied than everyday Chianti)","Medium to high — firm; several sources specifically describe the texture as ""chalky,"" ""dusty,"" or ""powdery"" rather than the smoother grip other high-tannin reds show","High — several sources note acidity is usually more pronounced than the tannin, i.e. the more immediately obvious structural feature on tasting",Dry,"11.5–14% (Chianti tends lower-middle; Brunello, aged 4+ years minimum from a specific clone, runs higher)","Medium to long, especially in Riserva/Brunello-level examples","Ruby-garnet, holding colour longer with age than some other thin-skinned Italian reds (see Nebbiolo comparison)","Sour/tart red cherry, red plum, cranberry; a distinctive tomato leaf note recurring across enough independent sources to count as a real varietal marker","Dried herbs, violet (young); leather, tobacco, balsamic, dried fruit, truffle-like earthiness (aged, especially Brunello); vanilla/cedar with oak use","Real but narrower than Riesling’s: always dry, but spans lighter/fresher stainless-steel styles (Rosso di Montalcino, everyday Chianti) through powerful, tannic, age-worthy Brunello — determined mainly by DOCG-level rules (yield limits, minimum aging) and winemaking choice rather than harvest-timing",,"Nebbiolo (not a full entry here) — explicitly termed ""wine twins"" by a named professional source (David Glancy MS, CWE); the most reliable tell is a counterintuitive colour/tannin mismatch — Nebbiolo looks deceptively pale and translucent (even paler than Sangiovese) but carries the more formidable, longer-aging tannin of the two. Aroma-wise, Nebbiolo leans tar/rose/licorice while Sangiovese leans tomato-leaf/violet/sour cherry. Secondary, per the ""Evil Dwarves"" cluster: Gamay, told apart mainly by carbonic-maceration bubblegum-like notes in Gamay that Sangiovese doesn’t show","Italy’s single most-planted grape variety, though still doesn’t exceed roughly 8% of Italy’s own total vineyard area — a useful corrective against assuming ""most planted in Italy"" means globally dominant","Complement — high acidity is specifically built for tomato-based dishes (the acid matches the tomato’s own acid rather than clashing), the textbook reason Chianti-and-red-sauce is such a stock pairing",green,green,green,green,green,yellow,green,green,green,green,green,yellow,green
sauvignon-blanc,Sauvignon Blanc,white,marlborough,Light to medium,None (white grape),High to very high — one of the most reliably acidic major white grapes,"Typically dry; a real minority of commercial/entry-level examples carry a touch of residual sugar specifically to balance very high acidity, but this is a winemaking choice at the margins, not a real style range",12–14%,Medium — bright and tart rather than long and powerful,"Very pale, often with a distinct green-tinted cast","Two distinct, chemically-named aroma families: green/herbaceous (cut grass, green bell pepper, gooseberry, asparagus, tomato leaf) from methoxypyrazines; and tropical/citrus (passionfruit, guava, grapefruit, lime) from volatile thiols, notably 4-MMP. Which dominates depends on climate/ripeness at harvest — cooler/less ripe leans green, warmer/riper leans tropical","Usually minimal — most often made in stainless steel specifically to preserve the primary aroma character; a minority (some White Bordeaux, blended with Sémillon) age in oak for a rounder, waxier, creamier style, a real but distinctly minority expression","Narrower than Riesling’s — always dry-leaning, always high acid — but with a real regional-style axis: Loire Valley (Sancerre/Pouilly-Fumé) tends restrained, mineral, green-leaning; Marlborough tends louder, more overtly tropical/thiol-driven; both are equally ""correct"" expressions, not a quality gradient",gruner-veltliner,"Verdejo (Rueda, Spain, not a full entry here) — the closest real-world lookalike, close enough that Spanish law allows the two to be blended under the same Rueda DO designation. Secondary: Grüner Veltliner, sharing high acid and green/vegetal lean but showing a more overtly white-peppery, sometimes nutty character and less tropical-thiol lift","Ranks around #8 among the world’s most-planted grape varieties, roughly 121,000 hectares (conservative end of a 121,000–123,000 range; OIV Focus 2017, cross-checked against a second independent citation)","Contrast, classically — high acid and green/herbal notes are the textbook pairing for goat cheese, oysters, and green vegetable-forward dishes that would clash with a rounder, lower-acid white",green,green,green,yellow,green,green,green,green,green,green,green,green,green
merlot,Merlot,red,bordeaux,Medium to full,"Medium — recurring texture language is ""soft,"" ""velvety,"" ""plush,"" directly confirming the same contrast already named from Cabernet Sauvignon’s own side","Medium (one source said ""low,"" most converge on ""medium"" — treated as normal source variance)",Dry,13–15%,Medium to long,"Deep ruby-purple, generally a shade lighter than Cabernet Sauvignon","Black cherry, plum, black currant, raspberry","Vanilla, cocoa, baking spice from oak; with age moves toward leather, tobacco, dried fruit","One dominant style (soft, plush, approachable), with the same cool-vs-warm-climate axis as Cabernet: cooler sites (Right Bank Bordeaux, Languedoc) show more herbal/earthy character and firmer tannin; warmer New World sites show riper, rounder, more fruit-forward expression",cabernet-sauvignon,"Cabernet Sauvignon — already established from the opposite direction. The tell: structure over fruit — Merlot’s tannin is rounder/softer/""plush,"" Cabernet’s is firmer/more angular and grips the sides of the mouth","World’s #2 most-planted wine grape, ~266,000 hectares (OIV Focus 2017-lineage data)","Complement — softer tannin than Cabernet makes it more broadly food-friendly, still pairs with red meat and firm cheese but doesn’t need as much fat to soften against",green,green,green,green,green,yellow,green,green,green,green,green,green,green
chardonnay,Chardonnay,white,"burgundy, champagne",Genuinely bimodal: light-to-medium (unoaked/cool-climate) or medium-to-full (oaked/warm-climate) — the single defining fact of this entry,"None (white grape) — a very small minority of heavily-oaked styles can show a faint ""grip"" from oak tannin itself, not the grape","High (unoaked/cool-climate) to medium (oaked/warm-climate, softened further by malolactic fermentation)","Dry, always — but oak-driven vanilla/toast aromas can read as ""sweet"" to an untrained palate with zero actual residual sugar",12–14.5%,Medium; savory/creamy on the finish specifically in oaked styles,"Medium straw to deep gold depending on style; unoaked skews paler/greener, oaked skews deeper gold","Green apple, lemon, lime (unoaked/cool-climate) or peach, pineapple, mango (oaked/warm-climate) — Chardonnay is repeatedly described as a ""neutral"" grape with muted inherent aroma; character is a winemaking decision far more than a grape-inherent trait","Vanilla, butter, toast, coconut, baking spice from oak and malolactic fermentation; the dominant character in ""oaked"" styles, essentially absent in unoaked/stainless-steel styles. With age, hazelnut aromas develop regardless of oak use","Chardonnay’s range is almost entirely a winemaking decision layered onto a genuinely neutral base grape — stainless steel vs. oak, with or without malolactic fermentation. Same grape, two near-opposite finished wines, by choice rather than terroir alone",,"Viognier (not a full entry here) — both full-bodied, often-oaked whites, genuinely challenging to tell apart blind. Chardonnay is ""explosive on the attack"" with a savory/creamy finish; Viognier has a famously ""oily/glycerol"" texture and a floral/tangerine perfumed lift Chardonnay generally lacks. Minor: unoaked Chardonnay is sometimes compared to Pinot Grigio/Sauvignon Blanc-adjacent territory, precisely because the grape’s neutral character leaves little to distinguish it once oak is removed","World’s #5 most-planted wine grape overall and #1 among white grapes specifically (surpassing Airén around 2010), ~211,000 hectares","Flexible — oaked styles complement richer dishes (roast poultry, cream sauces) the way a red would; unoaked styles work more by contrast (shellfish, light fish)",green,green,green,green,green,yellow,green,green,green,green,green,green,green
tempranillo,Tempranillo,red,rioja,Medium to full,"Medium to high — most sources converge on ""medium-plus"" to ""high""; firm but not harsh, softening further with extended oak aging","Moderate — with a specific, repeated descriptor: ""citrusy"" or ""orange-peel-like"" acidity, distinct from a generic ""high acid"" claim",Dry,13–15%,"Medium to long, smooth, often with tannin lingering on both sides of the mouth","Ruby-red when young, shifting to garnet/ruddy-orange with age and traditional Spanish oak aging","Black cherry, plum, red berries; a genuinely distinctive tomato/dried-tomato note recurs across sources, echoing (independently) Sangiovese’s own tomato-leaf marker","Dill, vanilla, leather, tobacco, cedar, clove — tightly tied to Rioja’s aging-classification system (Joven = little/no oak; Crianza = 1+ year oak; Reserva = 1+ year oak plus bottle age; Gran Reserva = 2+ years oak plus extended bottle age)","Largely a function of the oak-aging classification system above — a Joven shows bright unoaked fruit, a Gran Reserva shows the full secondary/tertiary oak-driven profile. Also a real regional split independent of oak: Rioja tends elegant/balanced, Ribera del Duero and Toro (more extreme continental climates) tend powerful/higher-alcohol/darker-fruited",sangiovese,"Sangiovese — confirmed via the Tim Gaiser MS ""Evil Dwarves"" red cluster and independently corroborated by a hands-on blind-tasting account. Gaiser’s tell: Tempranillo’s American-oak-driven signature (coconut, dill, pronounced vanilla, baking spice) most reliably separates it from Sangiovese, Nebbiolo, and Pinot Noir. Independent corroboration: Tempranillo read as ""more muted and earthy,"" Sangiovese as ""more savory/sour, sour tomato character""","World’s #3 most-planted wine grape, ~231,000 hectares; over 80% of world plantings are in Spain itself",Complement — structure and savory oak-driven notes pair with roasted/grilled meats and firm cheeses; also a good match with Mexican cuisine,green,yellow,green,green,green,yellow,green,green,green,green,green,green,yellow
malbec,Malbec,red,"mendoza, cahors",Medium to full,"Medium, though multiple sources specifically note it reads as softer/rounder than the level alone would suggest",Genuinely bidirectional depending on region: Cahors consistently higher-acid/structured; Mendoza consistently lower-acid/softer — closer to two distinct wine identities under one grape name than a simple gradient,Dry,"13–15%, with Mendoza examples common above 14% given the region’s hot climate",Notably shorter than Cabernet Sauvignon or Merlot per one direct source comparison,"Deep purple to inky black — among the darkest of any major red grape; a distinctive ""magenta rim,"" specific enough to be named as a blind-tasting marker","Black plum, blackberry, black cherry, violet","Cocoa, vanilla, sweet tobacco, coffee/mocha from oak — Mendoza examples typically see less oak time (6–10 months) than Old World norms, letting fruit character dominate more than oak character","A real, pronounced, region-driven split. Cahors (cooler, limestone): structured, earthy, savory, higher acid, firmer tannin, red-fruit-leaning. Mendoza (hot, high-altitude): plush, soft, generous, lower acid, rounder tannin, dark-fruit-leaning. Altitude specifically (not just latitude) is repeatedly cited as the key factor preserving acidity in Mendoza’s warm climate",syrah-shiraz,"Genuinely weaker than most confused-with pairings in this file — flagged explicitly rather than presented at equal confidence. Syrah/Shiraz is the closest real pairing, but multiple sources (including a direct forum discussion among actual tasters) call it more a casual-consumer-level lumping-together than a genuine tasting-exam-level confusion; several tasters say they don’t find the two similar on close tasting. Where a real tell is given: Syrah/Shiraz shows black pepper and smoke that Malbec lacks; Malbec is purer/plusher fruit with more floral lift. Separately, ""Malbec argenté"" is a different grape entirely (Abouriou), a name-confusion not a taste-confusion","Argentina holds roughly 75% of world Malbec plantings (well-converged). Argentina’s own most recent figure (~47,000 ha, ~23% of Argentina’s vineyard area) puts world Malbec plantings at roughly 63,000 hectares, conservatively — an older (2023) source implied a larger total; the smaller, more recent, more corroborated figure is used. Not in the OIV world top-10/top-13 table — genuinely smaller in world terms than its wine-list visibility suggests","Complement, classically with steak — Argentina’s beef reputation and Malbec’s soft tannin/dark fruit are a textbook match for red meat’s fat and char",green,green,green,green,green,yellow,green,green,green,green,yellow,yellow,green
gruner-veltliner,Grüner Veltliner,white,wachau,"Light to medium, extending to fuller/richer in top-tier examples (Wachau’s Smaragd tier)",None (white grape); some styles show a phenolic bitterness from brief skin contact,"Most consumer sources call it flatly ""high,"" but Tim Gaiser MS’s own professional tasting notes are more precise — ""not as high as Riesling,"" usually ""medium-plus."" Kept at the more rigorous professional framing","Typically dry; a narrower range than Riesling’s, but real — Prädikatswein-level examples can reach genuine sweetness, a minority expression","11–13.5%, with Smaragd-tier and richer styles needing to reach roughly 13% to fully show varietal character","Medium, described as ""energetic"" or ""refreshing"" even in fuller styles","Pale straw with a green tinge, deepening toward gold-green in richer, longer-aged styles","Green apple, lime, lemon, grapefruit, nectarine — alongside a genuinely prominent vegetal set (green bean, radish, arugula, watercress, asparagus)","White pepper is this grape’s single most famous marker, caused by rotundone — the same compound identified in Syrah/Shiraz. Tim Gaiser’s own professional tasting notes report it in only ~40% of wines he tasted, ""not universally found"" — most consumer sources overstate it as a guaranteed signature. Richer/aged styles add honey, nuts, smoke","Comparable in shape to Riesling’s — a genuine light/simple-to-rich/age-worthy spectrum, tracking Wachau’s own Steinfeder/Federspiel/Smaragd tier system, determined by harvest ripeness and winemaking choice more than a dry-to-sweet axis","riesling, sauvignon-blanc","Closes the loop on both grapes that name GV as their own secondary confusable. Riesling: GV’s white-pepper/vegetal lean vs. Riesling’s petrol/TDN signature and generally higher extract. Sauvignon Blanc: shared high acid and green/vegetal notes, but GV shows a more overtly peppery/nutty character and typically less tropical-thiol lift","Austria’s own most-planted grape by a wide margin (~31–32% of national plantings). World total (Kym Anderson’s academic dataset): Austria ~14,376 ha + Slovakia ~1,627 + Czechia ~1,538 + Hungary ~1,381 ≈ 18,900 hectares, roughly 99% of world plantings","Contrast, classically — one of the few wines genuinely recommended alongside notoriously wine-unfriendly vegetables like asparagus and artichoke",green,yellow,green,yellow,green,yellow,green,green,green,green,green,green,green
syrah-shiraz,Syrah / Shiraz,red,"cotes-du-rhone, barossa",Medium-plus (Northern Rhône/Syrah) to full/very full (Barossa/Shiraz) — one of the more pronounced body splits between two regional identities of the same grape,"High, firm, fine-grained — consistent across both identities, though Shiraz’s warmer-climate examples often show riper, ""bigger""/softer-feeling tannin despite the same underlying level","Medium to high — Syrah (cooler, Rhône) consistently ""brisk""/""vibrant""; Shiraz (warmer, Barossa) consistently softer",Dry,13–15% (Syrah) to 14–15.5% (Shiraz) — Shiraz consistently the higher end,Long,"Deep ruby-purple to opaque, inky black when young — one of the darkest of any major red grape, generally darker even than Cabernet Sauvignon","Blackberry, black cherry, plum (Syrah); riper blueberry, blackberry jam, cooked plum (Shiraz)","Black pepper, caused by rotundone, which this grape produces in greater concentrations than almost any other variety — roughly 1 in 10 people cannot smell it at all. Oak aging (more extensive in Shiraz) adds vanilla, chocolate, sweet spice; with age both identities develop leather, truffle, earth, tobacco","The most pronounced same-grape-two-names split researched — genuinely closer to two different wines under one identity than a climate gradient. Syrah (Northern Rhône, cooler): elegant, peppery, floral, restrained oak. Shiraz (Barossa/McLaren Vale, warmer): jammy, riper, higher-alcohol, more extensively oaked, softer tannin despite a similar underlying level",malbec,"Malbec — already covered from the opposite direction, a genuinely weaker, casual-consumer-level pairing. Separately, Petite Sirah is a real name-confusion, not a taste-confusion: despite the similar name, it’s a genetically different grape (a Syrah × Peloursin cross), even more tannic and inky with a denser, chewier texture than true Syrah/Shiraz","World’s #6 most-planted wine grape, ~190,000 hectares","Complement — pepper and firm tannin structure classically pair with peppercorn-crusted or char-grilled meats, matching intensity for intensity",green,green,green,green,green,green,green,green,green,green,green,green,green
